名稱,編號,生成地點,侵臺次數,侵(近)臺日期,發布時間,解除時間,發布報數,最大強度,近中心最大風速,侵臺路徑分類,登陸地段,動態,災情,颱風災害專區網頁連結
凱米 (GAEMI),202403,"127.8, 15.9",僅一次,---,海上 2024-07-22 23:30:00陸上 2024-07-23 11:30:00,---,---,---,---,---,---,---,---,---
杜蘇芮 (DOKSURI),202305,"132.9, 14.0",僅一次,2023年 07月 28日,海上 2023-07-24 20:30:00陸上 2023-07-25 14:30:00,陸上 2023-07-28 17:30:00海上 2023-07-28 17:30:00,32,中度,48 (公尺/秒),7,---,7月21日8時於關島西南方海面生成，7月24日向西北轉北北西移動，朝巴士海峽海面接近，同日20時30發布海上颱風警報。25日14時30分暴風圈已進入巴士海峽，對屏東及恆春半島將構成威脅，發布陸上颱風警報。27至28日颱風自臺灣海峽北上，中心於10時在金門東方近海登陸福建省，同日17時30分解除海上陸上颱風警報。,共計造成1死79傷，農損約2億元。,颱風災害專區網頁連結
海葵 (HAIKUI),202311,"142.8, 18.4",僅一次,2023年 09月 03日,海上 2023-09-01 20:30:00陸上 2023-09-02 11:30:00,陸上 2023-09-05 05:30:00海上 2023-09-05 08:30:00,29,中度,43 (公尺/秒),4,臺東縣東河鄉,8月28日8時於關島西北方海面生成後，向西北西朝臺灣東方海面接近，1日20時30發布海上颱風警報。2日11時30分暴風圈逐漸接近臺灣東方海面，對東半部構成威脅，發布陸上颱風警報。3日15時40分於颱風中心於臺東縣東河鄉登陸，同日20時於高雄市梓官區出海。出海後於高雄沿海滯留打轉，4日4時左右於高雄市左營區第2次登陸。5日持續朝西往中國閩粵交界沿海登陸，於5時30分解除陸上颱風警報，8時減弱為熱帶性低氣壓，並於8時30時解除海上颱風警報。,"中央災害應變中心統計全國143人受傷，停電約28萬戶，災情3,101件，農業損失14億1,563萬元。",颱風災害專區網頁連結
卡努 (KHANUN),202306,"138.1, 12.0",僅一次,2023年 08月 04日,海上 2023-08-01 20:30:00陸上 2023-08-02 17:30:00,陸上 2023-08-04 05:30:00海上 2023-08-04 11:30:00,22,中度,48 (公尺/秒),特殊,---,7月28日2時於關島西南方海面生成，8月1日向西北西轉西移動，朝臺灣北部海面接近，同日20時30發布海上颱風警報。2日17時30分，暴風圈逐漸接近臺灣北部近海，對臺灣北部構成威脅，發布陸上颱風警報。3至4日颱風於臺北東北東方海面緩慢移動，暴風圈於3日17時左右短暫接觸臺灣東北角陸地。4日颱風向東北轉東北東移動，同日11時30分解除海上颱風警報。,中央災害應變中心統計1死，農損約2億3809萬元。(統計截至8月11日止),颱風災害專區網頁連結
小犬 (KOINU),202314,"133.0, 15.5",僅一次,2023年 10月 05日,海上 2023-10-02 23:30:00陸上 2023-10-03 11:30:00,陸上 2023-10-06 02:30:00海上 2023-10-06 11:30:00,29,中度,48 (公尺/秒),4,屏東縣鵝鑾鼻,9月30日2時於關島西方海面生成後，向西北西朝臺灣東方海面接近，10月2日23時30發布海上颱風警報。3日11時30分暴風圈逐漸接近臺灣東方海面，對花蓮、臺東、屏東、恆春半島構成威脅，發布陸上颱風警報。5日8時20分颱風中心掠過屏東鵝鑾鼻。6日2時颱風中心於鵝鑾鼻西方250公里海面上持續西行，解除陸上颱風警報，同日11時30時解除海上颱風警報。,"中央災害應變中心統計全國1人死亡，399人受傷，停電46萬5,054戶，災情4,077件，農業損失5億7,595萬元。",颱風災害專區網頁連結
瑪娃 (MAWAR),202302,"149.0, 6.3",僅一次,2023年 05月 31日,海上 2023-05-29 20:30:00,海上 2023-05-31 17:30:00,16,中度,43 (公尺/秒),---,---,"5月20日14時於關島東南方海面生成，5月29日向西北轉北北西移動，朝巴士海峽及臺灣東南部海面接近，同日20時30發布海上颱風警報。31日11時暴風圈掠過臺灣東南部近海，同日17時30分解除海上颱風警報。
災情：零星災情，無人傷亡。",零星災情，無人傷亡。,---
蘇拉 (SAOLA),202309,"124.7, 20.4",僅一次,2023年 08月 30日,海上 2023-08-28 23:30:00陸上 2023-08-29 17:30:00,陸上 2023-08-30 23:30:00海上 2023-08-31 14:30:00,22,強烈,53 (公尺/秒),---,---,8月24日14時於臺灣東南方海面生成；28日向西北移動，朝巴士海峽接近，同日23時30發布海上颱風警報。29日14時30分暴風圈逐漸接近巴士海峽，對屏東及恆春半島構成威脅，發布陸上颱風警報。30至31日颱風朝臺灣海峽南部移動，暴風圈於30日11時接觸恆春半島陸地。31日颱風向西北西朝廣東沿海移動，同日14時30分解除海上颱風警報。,中央災害應變中心統計無人傷亡，零星災情。,---
軒嵐諾 (HINNAMNOR),202211,"149.4, 25.9",僅一次,2022年 09月 04日,海上 2022-09-02 08:30:00陸上 2022-09-03 02:30:00,陸上 2022-09-04 11:30:00海上 2022-09-04 20:30:00,21,強烈,55 (公尺/秒),6,---,8月28日14時於日本東南方海面生成，9月2日持續向西南移動，朝臺灣東南方海域接近，於同日8時30分發布海上颱風警報，9月3日2時30分發布陸上颱風警報。3日深夜颱風於臺灣東方海域北上，其暴風圈掠過臺灣東北部陸地後，9月4日20時30分解除海上颱風警報。,共計402件災情，停電戶數約4萬餘戶，農業損失約183萬元。無人傷亡。,颱風災害專區網頁連結
梅花 (MUIFA),202212,"133.0, 17.2",僅一次,2022年 09月 13日,海上 2022-09-11 08:30:00,海上 2022-09-13 17:30:00,20,中度,43 (公尺/秒),---,---,9月8日8時於菲律賓東方海面生成，9月11日持續向西北移動，朝臺灣東南方海域接近，於同日8時30分發布海上颱風警報。9月12至13日颱風於臺灣東方海域北上，9月13日17時30分解除海上颱風警報。,共計64件災情，3人受傷，農業損失約36萬元。,颱風災害專區網頁連結
尼莎 (NESAT),202220,"124.2, 18.8",僅一次,2022年 10月 16日,海上 2022-10-15 16:00:00,海上 2022-10-16 20:30:00,11,中度,33 (公尺/秒),---,---,10月15日14時於臺灣東南方海面生成，向西移動朝巴士海峽接近，對巴士海峽構成威脅，於同日16時發布海上颱風警報。16日8時颱風暴風圈進入巴士海峽，同日20時30分解除海上颱風警報。,北部及宜花地區有豪大雨發生，全國災情統計約529件，農業損失約401萬元，無人傷亡。,颱風災害專區網頁連結
璨樹 (CHANTHU),202114,"136.6, 15.6",僅一次,2021年 09月 12日,海上 2021-09-10 05:30:00陸上 2021-09-10 17:30:00,陸上 2021-09-12 20:30:00海上 2021-09-13 02:30:00,24,強烈,58 (公尺/秒),6,---,9月7日8時於菲律賓東方海面生成後向西移動， 10日轉向北北西移動接近巴士海峽，於5時30分發布海上颱風警報，同日17時30分發布陸上颱風警報。12日於臺灣東部近海北上通過，暴風圈涵蓋臺灣全島，13日2時30分解除海上颱風警報。,零星災情，全臺7.8萬戶停電，無人傷亡。,颱風災害專區網頁連結
彩雲 (CHOI-WAN),202103,"130.5, 7.5",僅一次,2021年 06月 04日,海上 2021-06-03 16:00:00陸上 2021-06-03 23:30:00,陸上 2021-06-04 20:30:00海上 2021-06-04 20:30:00,11,輕度,20 (公尺/秒),---,---,"5月31日8時於菲律賓東南方海面生成，初期向西北方移動，6月1至2日通
過菲律賓群島後，3日進入南海轉向北方移動。颱風中心於同日14時，向北
轉北北東移動，於16時發布海上颱風警報，持續接近東沙島海域及巴士海峽；
23時於鵝鑾鼻西南方440公里海面上，逐漸轉東北方移動，並於23時30分
發布海上陸上颱風警報。4日17時暴風圈進入恆春半島，隨後於20時減弱為
熱帶性低氣壓，並於20時30分解除海上陸上颱風警報。",無,颱風災害專區網頁連結
烟花 (IN-FA),202106,"132.9, 22.3",僅一次,2021年 07月 24日,海上 2021-07-21 20:30:00,海上 2021-07-24 11:30:00,22,中度,43 (公尺/秒),---,---,7月18日2時於菲律賓東方海面生成，7月20至21日向西南西移動，緩慢通過琉球南方海域。21日20時30分發布海上颱風警報，22日於宮古島南方海域緩慢轉北北西移動。24日凌晨中心通過宮古島近海及其暴風圈掠過臺灣東北部海域後，於同日11時30分解除海上颱風警報。,未有重大災情。,颱風災害專區網頁連結
圓規 (KOMPASU),202118,"131.8, 12.7",僅一次,2021年 10月 11日,海上 2021-10-10 20:30:00,海上 2021-10-12 08:30:00,13,輕度,30 (公尺/秒),---,---,10月8日14時於菲律賓東方海面生成，10月10日持續向西移動朝巴士海峽接近，於同日20時30分發布海上颱風警報。11日暴風圈掠過巴士海峽後，12日08時30分解除海上颱風警報。,1人受傷，全臺約4.5萬戶停電，農業損失約5500萬元。,颱風災害專區網頁連結
盧碧 (LUPIT),202109,"115.5, 21.2",僅一次,2021年 08月 05日,海上 2021-08-04 14:30:00,海上 2021-08-05 17:30:00,10,輕度,20 (公尺/秒),---,---,8月3日8時於南海北部海面生成後向東移動，8月4日轉向北北東移動接近臺灣海峽南部海域，於14時30分發布海上颱風警報。5日午間於廣東沿海登陸，17時30分解除海上颱風警報。,受颱風減弱為熱帶性低氣壓及西南氣流影響，中南部有超大豪雨，農業損失約4.3億。,颱風災害專區網頁連結
閃電 (ATSANI),202020,"148.2, 7.5",僅一次,2020年 11月 06日,海上 2020-11-05 08:30:00陸上 2020-11-05 20:30:00,陸上 2020-11-07 08:30:00海上 2020-11-07 14:30:00,19,輕度,28 (公尺/秒),5,---,10月29日20時於關島東南方海域形成後，向西北朝琉球南方海域移動。11月5日轉向西北西朝巴士海峽接近，於08時30分發布海上颱風警報；20時30分發布海上陸上颱風警報。6日晚間暴風圈籠罩臺東、臺南、高雄及屏東。7日14時於澎湖南方近海減弱為熱帶性低氣壓，隨後解除海上颱風警報。,"中央災害應變中心統計共造成3人受傷，農業損失約2,400萬。",颱風災害專區網頁連結
巴威 (BAVI),202008,"122.7, 23.3",僅一次,2020年 08月 22日,海上 2020-08-22 10:30:00,海上 2020-08-22 23:30:00,6,輕度,25 (公尺/秒),---,---,8月22日8時於花蓮東南東方約140公里之近海生成，10時30分發布海上颱風警報，向北北東移動，暴風圈進入臺灣東半部海面。23時於臺北東北東方約 230公里之海面上，逐漸遠離台灣東北部近面，隨後於23時30分解除海上颱風警報。,中央災害應變中心統計無傷亡，失蹤1名。,颱風災害專區網頁連結
哈格比 (HAGUPIT),202004,"127.2, 21.4",僅一次,2020年 08月 03日,海上 2020-08-02 05:30:00,海上 2020-08-03 23:30:00,15,中度,33 (公尺/秒),---,---,8月1日14時於臺灣東南方海面生成，朝向西北方向移動，2日5時30分發布海上颱風警報，向西北轉北北西移動，逐漸朝臺灣東北部海面接近。3日14時於基隆東北方約 150 公里之海面上，朝北北西移動，逐漸遠離台灣北部海面；隨後於23時30分解除海上颱風警報。,---,颱風災害專區網頁連結
米克拉 (MEKKHALA),202006,"118.3, 19.4",僅一次,2020年 10月 19日,海上 2020-08-10 10:30:00陸上 2020-08-10 10:30:00,陸上 2020-08-11 14:30:00海上 2020-08-11 14:30:00,11,輕度,23 (公尺/秒),---,---,10日8時於南海形成後，持續向北北東朝巴士海峽移動，於上午10時30分發布海上陸上颱風警報。11日5時在金門南方近海，向北北西移動，其暴風範圍籠罩澎湖及金門；於7時在中國福建沿海登陸。14時30分金門脫離暴風圈，解除海上陸上颱風警報。,---,颱風災害專區網頁連結
黃蜂 (VONGFONG),202001,"129.0, 11.0",僅一次,---,海上 2020-05-16 11:30:00,海上 2020-05-17 08:30:00,8,輕度,18 (公尺/秒),---,---,5月12日20時於菲律賓東方海面生成，初期移動方向偏西，14至15日通過菲律賓群島及呂宋島時，轉為向西北至北北西方向移動。颱風中心於16日8時離開呂宋島，轉為向北方向移動，上午11時30分發布海上颱風警報，接近巴士海峽移動方向轉為北北東。隨後於17日8時在鵝鑾鼻南方海面減弱為熱帶性低氣壓，於8時30分解除海上颱風警報。,未有重大災情發生。,颱風災害專區網頁連結
白鹿 (BAILU),201911,"132.3, 15.6",僅一次,2019年 08月 24日,海上 2019-08-23 05:30:00陸上 2019-08-23 14:30:00,陸上 2019-08-25 08:30:00海上 2019-08-25 11:30:00,19,輕度,30 (公尺/秒),4,屏東縣滿州鄉,颱風在菲律賓東方海面生成後向西北移動，朝巴士海峽方接近，24日13時於屏東滿州附近登陸，24日16時10分從高雄楠梓附近出海，25日7時左右由福建省進入大陸，向西北西離去。,"受颱風影響，花蓮及屏東地區有超大豪雨發生。中央災害應變中心統計至8月25日止，全臺計有1人死亡，9人受傷；農委會統計至8月27日止，農損逾新臺幣1億6,794萬元。",颱風災害專區網頁連結
丹娜絲 (DANAS),201905,"125.0, 17.0",僅一次,2019年 07月 18日,海上 2019-07-16 23:30:00陸上 2019-07-17 11:30:00,陸上 2019-07-17 20:30:00海上 2019-07-18 17:30:00,15,輕度,23 (公尺/秒),---,無登陸,颱風在菲律賓東方海面生成後向西轉北移動，朝臺灣東南部海面前進，掠過臺灣東北部近海後持續向北移動遠離臺灣。,未有重大災情發生。,颱風災害專區網頁連結
利奇馬 (LEKIMA),201909,"131.9, 17.4",僅一次,2019年 08月 09日,海上 2019-08-07 17:30:00陸上 2019-08-08 08:30:00,陸上 2019-08-09 20:30:00海上 2019-08-10 08:30:00,22,強烈,53 (公尺/秒),1,無登陸,颱風在菲律賓東方海面生成後向西北移動，朝臺灣東北部海面前進，暴風圈掠過臺灣北部及東北部陸地後持續向北移動登陸中國浙江。,中央災害應變中心統計1人死亡，15傷。,颱風災害專區網頁連結
米塔 (MITAG),201918,"132.2, 15.5",僅一次,2019年 09月 30日,海上 2019-09-29 08:30:00陸上 2019-09-29 20:30:00,陸上 2019-10-01 05:30:00海上 2019-10-01 11:30:00,18,中度,38 (公尺/秒),6,無登陸,颱風在菲律賓東方海面生成後向西北移動，朝臺灣東北部海面前進，30日暴風圈通過臺灣東半部及中部以北陸地後，持續向北朝東海海面前進。,中央災害應變中心統計至10月1日09:00止，全臺計有12人受傷；空運交通狀況，國際航線延誤1班次、取消26班次；國內航線取消18班次；海運交通狀況，國內航線停航6航線23航次、兩岸航線停航4航線12航次。,颱風災害專區網頁連結
山竹 (MANGKHUT),201822,"165.5, 12.8",僅一次,2018年 09月 15日,海上 2018-09-14 11:30:00,海上 2018-09-15 20:30:00,12,強烈,60 (公尺/秒),---,無登陸,颱風在威克島南方海面生成後向西移動，14日20時其暴風圈逐漸進入巴士海峽，並轉西北西移動，15日凌晨2時登陸呂宋島北部，上午11時進入南海，於16日下午由廣東進入大陸。,中央災害應變中心統計有1人死亡，其餘災情零星。,颱風災害專區網頁連結
瑪莉亞 (MARIA),201808,"145.5, 12.5",僅一次,2018年 07月 11日,海上 2018-07-09 14:30:00陸上 2018-07-09 23:30:00,陸上 2018-07-11 14:30:00海上 2018-07-11 14:30:00,17,強烈,55 (公尺/秒),1,無登陸,颱風在關島東南方海面生成後向西北西移動，10日通過臺灣北方海面，11日由福建進入大陸。,災情零星，計有5人受傷。,颱風災害專區網頁連結
谷超 (GUCHOL),201717,"120.4, 20.3",僅一次,2017年 09月 07日,海上 2017-09-06 10:30:00,海上 2017-09-07 02:30:00,7,輕度,18 (公尺/秒),---,---,6日上午8時生成並向北北西方向移動，7日清晨2時於澎湖南南西方海面減弱為熱帶性低氣壓。,未有重大災情發生。,颱風災害專區網頁連結
海棠 (HAITANG),201710,"117.1, 18.5",僅一次,2017年 07月 30日,海上 2017-07-30 11:30:00陸上 2017-07-30 11:30:00,陸上 2017-07-31 08:30:00海上 2017-07-31 08:30:00,14,輕度,20 (公尺/秒),7,屏東楓港,颱風在鵝鑾鼻西南方海面形成後往巴士海峽方向移動，30日16時40分於屏東楓港附近登陸，31日0時30分由彰化芳苑附近出海，8時其位置在馬祖西方陸地，向西北轉北北西離去。,受尼莎與海棠2個颱風環流以及西南氣流之影響，南部地區有超大豪雨發生，造成臺南、高雄及屏東部分地區淹水。中央災害應變中心統計至7月30日止，全臺計有111人受傷。,颱風災害專區網頁連結
天鴿 (HATO),201713,"128.0, 20.0",僅一次,2017年 08月 22日,海上 2017-08-20 23:30:00陸上 2017-08-21 14:30:00,陸上 2017-08-22 11:30:00海上 2017-08-22 17:30:00,15,中度,33 (公尺/秒),---,---,颱風在菲律賓東方海面生成，颱風中心緩慢向西轉西北西方向移動並逐漸往巴士海峽靠近，接近臺灣。颱風中心於22日早上8時通過恆春南方近海，22日11時恆春半島脫離暴風圈後持續往東沙島方向移動，並於22日17時增強至中度颱風，臺灣各地及附近海面已脫離颱風暴風圈，颱風警報解除。,未有重大災情發生,颱風災害專區網頁連結
尼莎 (NESAT),201709,"128.2, 16.2",僅一次,2017年 07月 29日,海上 2017-07-28 08:30:00陸上 2017-07-28 14:30:00,陸上 2017-07-30 10:15:00海上 2017-07-30 10:15:00,19,中度,40 (公尺/秒),2,宜蘭蘇澳,颱風在菲律賓東方海面形成後往西北方向移動，28日8時其中心在鵝鑾鼻東南東方海面，暴風圈逐漸接近巴士海峽，29日10時其暴風圈開始進入臺灣陸地，19時10分左右於宜蘭蘇澳登陸，22時30分由苗栗竹南附近出海，30日14時其中心在馬祖西方陸地向西北西方離去。,受颱風影響，蘇澳、宜蘭出現16級強陣風，臺北亦有14級強陣風，另受海棠颱風以及西南氣流同時影響，南部地區亦有超大豪雨發生，造成臺南、高雄及屏東部分地區淹水。中央災害應變中心統計至7月30日止，全臺計有111人受傷。,颱風災害專區網頁連結
泰利 (TALIM),201718,"143.1, 15.2",僅一次,2017年 09月 14日,海上 2017-09-12 14:30:00,海上 2017-09-14 20:30:00,19,中度,48 (公尺/秒),---,---,形成後往西北方向移動，13日23時其中心在臺北東北東方海面往北北西方向移動，暴風圈逐漸進入臺灣東北部近海。14日20時其中心在臺北東北方約400公里的海面上，對臺灣北部海面威脅已解除，颱風逐漸向北轉東北方向遠離。,未有重大災情發生。,颱風災害專區網頁連結
艾利 (AERE),201619,"126.4, 18.7",僅一次,2016年 10月 06日,海上 2016-10-05 11:30:00,海上 2016-10-06 14:30:00,10,輕度,18 (公尺/秒),---,---,形成後向西前進，6日14時其中心在東沙島東方230公里海面上，臺灣附近海面已脫離暴風圈，海上颱風警報解除。,未有重大災情發生。,---
馬勒卡 (MALAKAS),201616,"139.5, 13.8",僅一次,2016年 09月 17日,海上 2016-09-15 23:30:00陸上 2016-09-16 08:30:00,陸上 2016-09-18 02:30:00海上 2016-09-18 08:30:00,20,中度,45 (公尺/秒),---,---,颱風在西北太平洋洋面形成後往西北轉北北西方向移動，16日20時其中心在恆春東方海面，暴風圈進入臺灣東南部近海。17日0時起其暴風圈已進入臺灣東部及東南部陸地，之後逐漸往北轉北北東進行。18日2時，颱風中心在臺北東北方海面，臺灣本島已脫離暴風圈。,未有重大災情發生。,颱風災害專區網頁連結
梅姬 (MEGI),201617,"140.0, 15.5",僅一次,2016年 09月 27日,海上 2016-09-25 23:30:00陸上 2016-09-26 11:30:00,陸上 2016-09-28 17:30:00海上 2016-09-28 17:30:00,23,中度,45 (公尺/秒),3,花蓮市附近,颱風在關島附近海面形成後逐漸往西北西方向移動。25日23時其中心在花蓮東南東方海面，暴風圈逐漸朝臺灣東半部海面接近；27日5時，其中心在花蓮東南方海面，暴風圈逐漸影響臺灣東半部陸地。颱風中心於27日14時在花蓮市附近登陸，21時10分由雲林縣麥寮出海，並於28日5時左右由金門北方進入福建。,受颱風影響，梧棲、蘇澳出現17級強陣風，東部與南部地區亦有超大豪雨發生。中央災害應變中心統計至9月28日止，全臺計有4人死亡，662人受傷，農損逾新臺幣3億元。,颱風災害專區網頁連結
莫蘭蒂 (MERANTI),201614,"139.2, 14.7",僅一次,2016年 09月 14日,海上 2016-09-12 23:30:00陸上 2016-09-13 08:30:00,陸上 2016-09-15 11:30:00海上 2016-09-15 11:30:00,21,強烈,60 (公尺/秒),7,金門,颱風在關島西方海面形成後往西北西轉西北方向移動，13日14時其中心在恆春東南東方海面，暴風圈開始進入巴士海峽，同日23時起其暴風圈逐漸進入臺灣東南部陸地及恆春半島，對臺灣東部、中南部及澎湖、金門地區構成威脅。颱風中心於15日2時左右由金門進入福建，11時金門脫離暴風圈，颱風警報解除。,受颱風影響，東吉島、金門出現17級以上強陣風。中央災害應變中心統計至9月15日止，全臺計有1人死亡，62人受傷，農損約新臺幣1億元。,颱風災害專區網頁連結
尼伯特 (NEPARTAK),201601,"145.2, 8.9",僅一次,2016年 07月 08日,海上 2016-07-06 14:30:00陸上 2016-07-06 20:30:00,陸上 2016-07-09 14:30:00海上 2016-07-09 14:30:00,25,強烈,58 (公尺/秒),4,臺東縣太麻里,颱風在關島南方海面形成後往西北西方向移動，7日8時其中心在花蓮東南方海面，暴風圈逐漸接近臺灣東南方近海，同日傍晚起其暴風圈逐漸進入臺灣東南部陸地及恆春半島。颱風中心於8日5時50分左右於臺東縣太麻里鄉登陸，14時30分由臺南市將軍區進入臺灣海峽，並於9日13時左右在金門東北方進入福建。,尼伯特颱風影響，臺東出現17級強陣風。中央災害應變中心統計至7月9日止，全臺計有3人死亡，311人受傷，農損逾新臺幣6億元。,颱風災害專區網頁連結
昌鴻 (CHAN-HOM),201509,"159.5, 10.1",僅一次,2015年 07月 10日,海上 2015-07-09 05:30:00陸上 2015-07-09 20:30:00,陸上 2015-07-10 23:30:00海上 2015-07-11 11:30:00,19,中度,48 (公尺/秒),---,---,生成後向西轉西北緩慢移動，9日5時其中心在琉球東南方海面，暴風圈逐漸接近臺灣東北部及北部海面；20時起其暴風圈逐漸擴大，對臺灣北部及東北部陸地逐漸構成威脅。10日17時，其暴風圈掠過臺灣東北部鼻頭角，23時其強度逐漸減弱，對陸地威脅已解除。11日11時其中心在臺北北方海面，向北北西轉北移動，對臺灣北部海面威脅亦已解除。,未有重大災情發生。,颱風災害專區網頁連結
杜鵑 (DUJUAN),201521,"138.2, 17.7",僅一次,2015年 09月 28日,海上 2015-09-27 08:30:00陸上 2015-09-27 17:30:00,陸上 2015-09-29 17:30:00海上 2015-09-29 17:30:00,20,強烈,51 (公尺/秒),2,宜蘭縣南澳鄉,生成後向西北轉西北西方向移動，27日17時其中心在花蓮東南東方海面，暴風圈逐漸向臺灣東半部海面和陸地接近。28日17時40分其中心由宜蘭南澳鄉登陸，29日1時於彰化芳苑鄉出海，同日10時左右由金門北方進入福建。,風及豪雨造成鐵公路及航空交通多班停駛。中央災害應變中心統計至9月29日止計有3人死亡，農損逾新臺幣1.7億元。,颱風災害專區網頁連結
天鵝 (GONI),201515,"148.2, 13.0",僅一次,2015年 08月 23日,海上 2015-08-20 17:30:00,海上 2015-08-23 20:30:00,26,強烈,51 (公尺/秒),---,---,15日2時發展為颱風後往西北西方向移動，20日移動至菲律賓東北方海面，21日晚間至22日清晨逐漸向北轉北北東方移動，22日至23日其中心持續向北北東移動，暴風圈經過台灣東方海面，23日20時其中心在臺北東南東方海面加速遠離，對臺灣近海威脅已解除。,未有重大災情發生。,颱風災害專區網頁連結
蓮花 (LINFA),201510,"128.6, 15.2",僅一次,2015年 07月 08日,海上 2015-07-06 08:30:00陸上 2015-07-07 02:30:00,陸上 2015-07-07 14:30:00海上 2015-07-09 02:30:00,24,輕度,30 (公尺/秒),---,---,生成後大致偏西移動，穿越呂宋島北方後逐漸改向北移動，6日17時其中心在鵝鑾鼻南南西方海面，暴風圈已進入巴士海峽，且移動緩慢。7日後逐漸由北北東轉西北移動，9日5時其中心在臺灣海峽南部向西移動，對臺灣近海威脅已解除。,未有重大災情發生。,颱風災害專區網頁連結
紅霞 (NOUL),201506,"140.7, 9.3",僅一次,2015年 05月 11日,海上 2015-05-10 08:30:00,海上 2015-05-11 20:30:00,13,強烈,51 (公尺/秒),---,---,颱風4日在關島西南方海面形成後往西轉西北方向緩慢移動，10日8時其中心在鵝鑾鼻南南東方海面，暴風圈逐漸接近巴士海峽及臺灣東南部海面；20時起其強度逐漸減弱，暴風半徑亦逐漸減小，並逐漸向北轉東北移動。11日20時其中心在臺東東北東方海面繼續向東北方向移動，蘭嶼綠島已脫離其暴風圈，對臺灣近海威脅亦已解除。,無災情發生。,---
蘇迪勒 (SOUDELOR),201513,"159.3, 13.6",僅一次,2015年 08月 08日,海上 2015-08-06 11:30:00陸上 2015-08-06 20:30:00,陸上 2015-08-09 08:30:00海上 2015-08-09 08:30:00,24,中度,48 (公尺/秒),3,花蓮縣秀林鄉,生成後穩定向西北西移動並快速增強，4日午後雖略有減弱，但仍以中度颱風上限逼近臺灣。7日17時其中心在花蓮東南東方海面，暴風圈逐漸接觸臺灣陸地。8日4時40分左右中心由花蓮秀林鄉登陸，11時在雲林縣臺西鄉出海，同日22時左右由福建進入大陸。,受颱風影響，造成多處道路坍方，全臺停電戶數逾400萬戶。中央災害應變中心統計至8月11日止計有8人死亡，4 人失蹤，437人受傷，農損逾新臺幣22億元。,颱風災害專區網頁連結
鳳凰 (FUNG-WONG),201416,"129.5, 12.9",僅一次,2014年 09月 21日,海上 2014-09-19 08:30:00陸上 2014-09-19 20:30:00,陸上 2014-09-22 05:30:00海上 2014-09-22 08:30:00,25,輕度,25 (公尺/秒),特殊,鵝鑾鼻、三貂角,生成後向西北轉北北東移動，21 日10 時左右其中心掠過鵝鑾鼻，之後向北北東沿東部近海轉北移動，當日22 時左右掠過三貂角，中心進入北部海面繼續朝北移動。,略有災情，有1 人死亡。,颱風災害專區網頁連結
哈吉貝 (HAGIBIS),201407,"116.8, 20.6",僅一次,2014年 06月 15日,海上 2014-06-14 23:30:00,海上 2014-06-15 17:30:00,7,輕度,20 (公尺/秒),---,---,6月14日東沙島附近海面生成，中心往北移動。6月15日5時暴風圈進入臺灣海峽南部，持續向北移動，17時左右進入廣東並轉向東北移動。16日減弱為熱帶性低氣壓。,無。,颱風災害專區網頁連結
麥德姆 (MATMO),201410,"135.4, 10.4",僅一次,2014年 07月 23日,海上 2014-07-21 17:30:00陸上 2014-07-22 02:30:00,陸上 2014-07-23 23:30:00海上 2014-07-23 23:30:00,19,中度,38 (公尺/秒),3,臺東長濱,生成後向西北轉北北西移動，23 日0 時10 分左右於臺東長濱登陸，4 時20 分由彰化附近出海，15 時左右在馬祖南方進入福建。,受颱風影響，造成部分地區淹水、鐵公路交通中斷等災情。農損逾新臺幣6 億元。,颱風災害專區網頁連結
西馬隆  (CIMARON),201308,"122.0, 18.5",僅一次,2013年 07月 17日,海上 2013-07-17 10:30:00,海上 2013-07-18 11:30:00,10,輕度,18 (公尺/秒),---,---,生成後向西北方向移動，通過巴士海峽後持續朝西北方向前進。,未有災情傳出。,颱風災害專區網頁連結
菲特 (FITOW),201323,"132.5, 13.5",僅一次,2013年 10月 06日,海上 2013-10-04 23:30:00陸上 2013-10-05 14:30:00,陸上 2013-10-07 08:30:00海上 2013-10-07 08:30:00,20,中度,38 (公尺/秒),1,---,生成後向北北西移動，之後轉向西北西通過臺灣北部海面，7日2時左右由福建、浙江交界處進入大陸。,未有重大災情發生。,颱風災害專區網頁連結
康芮 (KONG-REY),201315,"125.3, 16.0",僅一次,2013年 08月 29日,海上 2013-08-27 11:30:00陸上 2013-08-28 11:30:00,陸上 2013-08-29 17:30:00海上 2013-08-29 20:30:00,20,輕度,25 (公尺/秒),6,---,生成後向北北西轉北朝臺灣東南部海面前進，掠過臺灣東北部近海後轉向東北移動遠離臺灣。,受颱風影響中南部降下豪雨，造成多處地區嚴重淹水、道路中斷。計有6人死亡，農損與潭美颱風並計逾新臺幣9億元。,颱風災害專區網頁連結
蘇力 (SOULIK ),201307,"145.5, 19.1",僅一次,2013年 07月 13日,海上 2013-07-11 08:30:00陸上 2013-07-11 20:30:00,陸上 2013-07-13 23:30:00海上 2013-07-13 23:30:00,22,強烈,51 (公尺/秒),2,新北市與宜蘭縣交界處,生成後向西北西方向移動，11日20時由強烈颱風減弱為中度颱風，接近臺灣東北部海面時略為向西北移動，13日3時於新北市與宜蘭縣交界處登陸，8 時左右於新竹附近出海，16時前後由福建進入大陸。,受颱風影響，全臺出現強風豪雨，造成多處地區淹水、道路坍方交通中斷。計有3人死亡，農損約新臺幣14.8億元。,颱風災害專區網頁連結
