名稱,編號,生成地點,侵臺次數,侵(近)臺日期,發布時間,解除時間,發布報數,最大強度,近中心最大風速,侵臺路徑分類,登陸地段,動態,災情,颱風災害專區網頁連結
賀伯 (HERB),199608,"148.7, 20.1",僅一次,1996年 07月 31日,海上 1996-07-29 11:30:00陸上 1996-07-29 23:20:00,陸上 1996-08-01 23:20:00海上 1996-08-01 23:20:00,29,強烈,53 (公尺/秒),2,基隆與蘇澳間,形成後以西北西向臺灣前進，31日20時44分在基隆與蘇澳間登陸，強度開始減弱，繼續偏西進行。8月1日4時在新竹附近出海後，以西北西方向前進，8月1日11時在福建平潭附近登陸大陸。至8月1日21時臺灣本島、澎湖、及臺灣東部海面始脫離暴風圈之影響。,颱風帶來強風豪雨，全國各地災情嚴重，航空、鐵路交通全面停飛、停駛，公路坍方、橋樑斷裂，嚴重受損。中、南部沿海地區海水倒灌，臺北縣巿地區多處嚴重淹水。南投縣水里鄉、信義鄉、鹿谷鄉山洪爆發，多人慘遭活埋。全臺電力、電信受損嚴重。阿里山測站於7月31日單日降水累計雨量達1094.5毫米，創歷史紀錄。花蓮、臺東地區於31日深夜有焚風發生。有51人死亡，22人失蹤。,---
麗莎 (LISA),199612,"114.4, 19.4",僅一次,1996年 08月 06日,海上 1996-08-06 16:40:00陸上 1996-08-06 18:35:00,陸上 1996-08-07 05:40:00海上 1996-08-07 05:40:00,6,輕度,20 (公尺/秒),---,---,形成後即向東北方向前進，7日清晨在汕頭與厦門之間登陸大陸。,未有災情傳出。,---
莎莉 (SALLY),199618,"132.4, 15.2",僅一次,1996年 09月 08日,海上 1996-09-07 09:00:00陸上 1996-09-07 15:10:00,陸上 1996-09-08 11:45:00海上 1996-09-08 17:45:00,12,中度,48 (公尺/秒),---,---,形成後以西北西方向前進。,未有災情傳出。,---
魏萊特 (VIOLET),199620,"129.5, 16.5",僅一次,1996年 09月 16日,海上 1996-09-15 20:30:00,海上 1996-09-16 21:00:00,9,強烈,51 (公尺/秒),---,---,形成後先以西北方向後轉北進行。,未有災情傳出。,---
薩恩 (ZANE),199623,"137.2, 15.5",僅一次,1996年 09月 27日,海上 1996-09-27 14:55:00,海上 1996-09-28 20:25:00,11,中度,43 (公尺/秒),---,---,形成後先以西北方向後轉向東北方向前進。,未有災情傳出。,---
荻安娜 (DEANNA),199502,"121.9, 12.9",第 1 次,1995年 06月 08日,海上 1995-06-04 16:30:00陸上 1995-06-04 20:50:00,陸上 1995-06-06 11:50:00海上 1995-06-08 14:50:00,33,輕度,20 (公尺/秒),9,---,形成後先向西北後轉向東北方向前進，5日至7日間在巴士海峽南部滯留，對恆春半島威脅暫時解除，於6月6日11時50分第1次解除陸上颱風警報。8日清晨在臺灣海峽南部加速向北北東移動，於8日5時40分第2次發布陸上颱風警報，其暴風圈接觸臺灣西南部陸地及澎湖地區後，減弱為熱帶性低壓。,受颱風引進之旺盛西南氣流及滯留鋒面雙重影響，中、南部地區豪雨持續數日，公路多處坍方，災情較嚴重。有1人死亡、2人失蹤。,---
荻安娜 (DEANNA),199502,"121.9, 12.9",第 2 次,---,海上 1995-06-04 16:30:00陸上 1995-06-08 05:40:00,陸上 1995-06-08 14:50:00海上 1995-06-08 14:50:00,---,輕度,20 (公尺/秒),9,---,---,受颱風引進之旺盛西南氣流及滯留鋒面雙重影響，中、南部地區豪雨持續數日，公路多處坍方，災情較嚴重。有1人死亡、2人失蹤。,---
蓋瑞 (GARY),199505,"118.0, 19.1",僅一次,1995年 07月 31日,海上 1995-07-31 03:55:00陸上 1995-07-31 03:55:00,陸上 1995-07-31 20:45:00海上 1995-07-31 20:45:00,7,輕度,28 (公尺/秒),7,---,形成後即向北前進，31日13時左右於汕頭東北方約40公里處登陸，強度減弱。,受颱風外圍環流影響，東、南部地區豪雨成災，公路多處坍方。有3人死亡、21人失蹤。,---
海倫 (HELEN),199506,"123.5, 19.1",僅一次,1995年 08月 10日,海上 1995-08-09 11:50:00,海上 1995-08-11 06:15:00,15,輕度,23 (公尺/秒),---,---,形成後即向西北西方向前進。,未有災情傳出。,---
珍妮絲 (JANIS),199508,"130.2, 20.2",僅一次,1995年 08月 23日,海上 1995-08-23 17:55:00,海上 1995-08-24 21:25:00,10,輕度,23 (公尺/秒),---,---,形成後先以西北西方向前進，26日後轉東北方向向韓國前進。,未有災情傳出。,---
